car 1
motorbike 0
bus 0
truck 0
person 0


car 2
motorbike 0
bus 0
truck 0
person 0


car 3
motorbike 0
bus 0
truck 0
person 0


car 4
motorbike 0
bus 0
truck 0
person 0


car 5
motorbike 0
bus 0
truck 0
person 0


car 6
motorbike 0
bus 0
truck 0
person 0


car 1
motorbike 0
bus 0
truck 0
person 0


car 2
motorbike 0
bus 0
truck 0
person 0


car 3
motorbike 0
bus 0
truck 0
person 0


car 4
motorbike 0
bus 0
truck 0
person 0


car 5
motorbike 0
bus 0
truck 0
person 0


car 6
motorbike 0
bus 0
truck 0
person 0


car 7
motorbike 0
bus 0
truck 0
person 0


car 1
motorbike 0
bus 0
truck 0
person 0


car 2
motorbike 0
bus 0
truck 0
person 0


car 3
motorbike 0
bus 0
truck 0
person 0


car 4
motorbike 0
bus 0
truck 0
person 0


car 5
motorbike 0
bus 0
truck 0
person 0


car 6
motorbike 0
bus 0
truck 0
person 0


car 7
motorbike 0
bus 0
truck 0
person 0


car 8
motorbike 0
bus 0
truck 0
person 0


car 1
motorbike 0
bus 0
truck 0
person 0


car 2
motorbike 0
bus 0
truck 0
person 0


car 3
motorbike 0
bus 0
truck 0
person 0


car 4
motorbike 0
bus 0
truck 0
person 0


car 5
motorbike 0
bus 0
truck 0
person 0


car 6
motorbike 0
bus 0
truck 0
person 0


car 7
motorbike 0
bus 0
truck 0
person 0


car 1
motorbike 0
bus 0
truck 0
person 0


car 2
motorbike 0
bus 0
truck 0
person 0


car 3
motorbike 0
bus 0
truck 0
person 0


car 4
motorbike 0
bus 0
truck 0
person 0


car 5
motorbike 0
bus 0
truck 0
person 0


car 6
motorbike 0
bus 0
truck 0
person 0


car 7
motorbike 0
bus 0
truck 0
person 0


car 8
motorbike 0
bus 0
truck 0
person 0


car 8
motorbike 0
bus 1
truck 0
person 0


car 1
motorbike 0
bus 0
truck 0
person 0


car 2
motorbike 0
bus 0
truck 0
person 0


car 3
motorbike 0
bus 0
truck 0
person 0


car 4
motorbike 0
bus 0
truck 0
person 0


car 5
motorbike 0
bus 0
truck 0
person 0


car 6
motorbike 0
bus 0
truck 0
person 0


car 7
motorbike 0
bus 0
truck 0
person 0


car 7
motorbike 0
bus 1
truck 0
person 0


car 8
motorbike 0
bus 1
truck 0
person 0


car 1
motorbike 0
bus 0
truck 0
person 0


car 2
motorbike 0
bus 0
truck 0
person 0


car 3
motorbike 0
bus 0
truck 0
person 0


car 4
motorbike 0
